Matricula,Mes_1,Mes_2,Mes_3,Mes_4,Mes_5,Mes_6
3008400,True,True,True,False,False,False
3008500,True,True,True,False,False,False
3008700,True,True,True,False,False,False
3008800,True,True,True,False,False,False
3009200,True,True,True,False,False,False
3010100,True,True,True,False,False,False
3013900,True,True,True,False,False,False
3014200,True,True,True,False,False,False
3014500,True,True,True,False,False,False
3014900,True,True,True,False,False,False
3438900,True,True,True,False,False,False
3008600,True,True,True,False,False,False
3008900,True,True,True,False,False,False
3013700,True,True,True,False,False,False
